Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333,Utama,Consumer Non-Cyclicals,8625,16600436872125,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2001-04-16,2022-11-04
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857,Pengembangan,Consumer Cyclicals,183,720268392831,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2002-04-03,2022-11-04
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680,Pengembangan,Financials,6600,4097324088000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2001-04-16,2022-11-04
ABMM,ABM Investama Tbk.,2011-12-06,2753165000,Utama,Industrials,3620,9966457300000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2011-12-06,2022-11-04
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000,Utama,Consumer Cyclicals,590,10118500000000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2007-11-06,2022-11-04
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000,Utama,Infrastructures,177,2243503320000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2013-06-24,2022-11-04
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200,Utama,Properties & Real Estate,74,1644444442800,2022-02-21 09:00:00,2022-11-04 15:59:00,2021-05-21 09:00:00,2022-11-04 16:00:00,2021-05-21,2022-11-04
ADES,Akasha Wira International Tbk.,1994-06-13,589896800,Pengembangan,Consumer Non-Cyclicals,7150,4217762120000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2001-04-16,2022-11-04
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376,Utama,Infrastructures,550,1958467156800,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2004-03-18,2022-11-04
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000,Utama,Financials,8675,8675000000000,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2004-03-31,2022-11-04
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559,Utama,Basic Materials,158,614490370322,2021-11-01 09:00:00,2022-11-04 15:59:00,2020-04-16 09:00:00,2022-11-04 16:00:00,2001-04-16,2022-11-04
