timestamp,open,low,high,close,volume
2022-09-07,244,244,244,244,0
2022-09-08,244,244,244,244,0
2022-09-09,244,244,244,244,42632500
2022-09-12,300,286,304,304,104059800
2022-09-13,370,370,380,380,61378100
2022-09-14,420,420,474,470,365036000
2022-09-15,468,438,570,438,352776800
2022-09-16,430,408,438,408,12529600
2022-09-19,390,380,460,392,209153000
2022-09-20,392,392,424,412,84106500
2022-09-21,416,416,515,515,259884100
2022-09-22,600,520,635,560,484752600
2022-09-23,560,0,0,525,106399300
2022-09-26,510,490,535,490,123471700
2022-09-27,490,462,545,492,146546800
2022-09-28,494,458,505,458,114908400
2022-09-29,458,426,470,426,57748600
2022-09-30,426,398,448,440,109008500
2022-10-03,424,410,448,410,99110000
2022-10-04,410,382,412,384,148823900
2022-10-05,384,360,474,456,437463000
2022-10-06,460,444,482,454,253193400
2022-10-07,460,452,478,468,127130700
2022-10-10,470,436,496,436,185802800
2022-10-11,436,406,440,406,90478600
2022-10-12,388,378,410,378,218794800
2022-10-13,376,352,380,352,117028000
2022-10-14,352,328,362,328,109465300
2022-10-17,326,306,328,306,25686900
2022-10-18,300,286,310,286,99009500
2022-10-19,280,266,286,266,25060100
2022-10-20,248,248,312,294,304341800
2022-10-21,296,276,302,278,162447800
2022-10-24,276,260,286,260,74660900
2022-10-25,260,242,260,242,65099300
2022-10-26,228,226,254,252,140197900
2022-10-27,272,242,272,244,30062100
2022-10-28,242,232,250,234,23218600
2022-10-31,234,230,248,236,28889200
2022-11-01,236,224,242,226,29649500
2022-11-02,228,226,248,230,53570100
2022-11-03,230,226,234,230,14968700
2022-11-04,216,216,232,224,11994200
