timestamp,open,low,high,close,volume
2022-08-03,294,240,312,254,523871000
2022-08-04,238,238,260,238,64443600
2022-08-05,228,222,246,230,46839400
2022-08-08,230,228,256,240,70880900
2022-08-09,242,226,244,228,27004500
2022-08-10,228,224,238,226,13605100
2022-08-11,228,214,230,214,18570700
2022-08-12,214,214,218,214,4531200
2022-08-15,214,204,222,210,7528600
2022-08-16,210,204,214,214,5841500
2022-08-17,210,204,214,214,0
2022-08-18,214,210,234,230,51048900
2022-08-19,232,216,234,216,24553500
2022-08-22,218,210,218,212,7117000
2022-08-23,212,210,226,218,10592400
2022-08-24,218,214,220,216,3516400
2022-08-25,218,210,218,214,2640700
2022-08-26,214,210,216,210,2546800
2022-08-29,210,208,214,210,3633700
2022-08-30,212,204,212,208,5662600
2022-08-31,210,206,214,208,3368700
2022-09-01,208,208,214,208,2240700
2022-09-02,208,208,218,210,6047600
2022-09-05,210,208,214,212,2902000
2022-09-06,212,208,212,210,2990200
2022-09-07,210,208,212,208,2706300
2022-09-08,208,206,212,210,4189000
2022-09-09,210,206,210,210,1734800
2022-09-12,208,208,210,208,1441700
2022-09-13,216,208,216,208,2049600
2022-09-14,208,204,210,206,3669300
2022-09-15,206,204,208,204,2715000
2022-09-16,204,193,208,198,8433500
2022-09-19,198,192,198,194,3144600
2022-09-20,195,190,196,190,1685900
2022-09-21,191,187,191,188,2709900
2022-09-22,188,183,189,184,2842100
2022-09-23,184,177,186,180,8809900
2022-09-26,181,181,208,195,22408300
2022-09-27,198,184,198,189,6794700
2022-09-28,194,189,194,189,2341700
2022-09-29,189,186,224,210,80979700
2022-09-30,216,199,232,199,59429800
2022-10-03,199,193,218,216,13680600
2022-10-04,216,208,224,208,15608000
2022-10-05,210,206,214,208,4731300
2022-10-06,212,195,212,204,5192200
2022-10-07,204,202,216,208,8079100
2022-10-10,210,202,210,206,1825900
2022-10-11,206,202,210,204,1899200
2022-10-12,206,196,206,199,6234800
2022-10-13,199,196,202,198,1917100
2022-10-14,198,191,198,195,3628300
2022-10-17,195,192,200,196,2844100
2022-10-18,196,194,198,195,1263000
2022-10-19,195,194,197,196,524200
2022-10-20,196,195,202,200,1282200
2022-10-21,199,196,210,208,3831400
2022-10-24,208,204,212,212,3514900
2022-10-25,212,202,212,210,3240000
2022-10-26,206,206,212,208,2560600
2022-10-27,208,202,210,208,1142200
2022-10-28,210,204,212,210,2754000
2022-10-31,212,202,214,210,4722300
2022-11-01,210,204,214,208,2220300
2022-11-02,208,199,212,204,5350200
2022-11-03,204,194,204,199,8121000
2022-11-04,199,197,204,204,3968200
