timestamp,open,low,high,close,volume
2022-08-08,114,104,138,127,1016123800
2022-08-09,129,119,130,119,26335300
2022-08-10,111,111,132,116,188268700
2022-08-11,116,114,126,119,97710100
2022-08-12,120,116,121,119,23246100
2022-08-15,119,119,125,122,55738600
2022-08-16,123,122,132,127,140855700
2022-08-17,123,122,132,127,0
2022-08-18,129,123,138,129,193797400
2022-08-19,130,127,131,129,42085300
2022-08-22,131,129,149,137,487254100
2022-08-23,138,131,153,152,385736400
2022-08-24,154,142,161,143,372980100
2022-08-25,144,143,152,152,127010200
2022-08-26,154,148,157,152,115220500
2022-08-29,153,148,157,154,80108700
2022-08-30,155,152,164,161,167565700
2022-08-31,161,156,175,170,224419800
2022-09-01,169,167,172,170,77429100
2022-09-02,169,167,172,168,32457400
2022-09-05,167,163,171,171,64238700
2022-09-06,171,168,172,168,41826300
2022-09-07,168,157,171,170,91853600
2022-09-08,170,168,183,175,222287800
2022-09-09,175,171,180,178,78680100
2022-09-12,178,166,181,178,87617600
2022-09-13,178,172,180,172,45011200
2022-09-14,169,165,174,168,24878100
2022-09-15,168,163,171,166,43658000
2022-09-16,166,166,202,183,634066900
2022-09-19,183,182,210,189,515989700
2022-09-20,190,177,191,181,145932000
2022-09-21,182,180,191,180,80062700
2022-09-22,180,176,183,178,27661800
2022-09-23,180,175,185,177,25204800
2022-09-26,179,165,179,165,33357100
2022-09-27,165,158,167,165,55088300
2022-09-28,166,165,172,170,44549900
2022-09-29,173,159,173,159,28190100
2022-09-30,159,148,159,150,30710500
2022-10-03,150,140,155,155,16212600
2022-10-04,155,152,163,156,53965800
2022-10-05,156,156,160,159,12754600
2022-10-06,161,158,164,164,17983800
2022-10-07,166,161,174,165,75104300
2022-10-10,165,162,172,170,33825000
2022-10-11,171,170,180,178,134849600
2022-10-12,178,166,179,171,74880200
2022-10-13,171,162,172,168,17360700
2022-10-14,172,164,172,164,7913700
2022-10-17,164,153,171,169,43641000
2022-10-18,171,162,171,168,19942000
2022-10-19,169,164,182,174,202052300
2022-10-20,174,170,175,173,29733800
2022-10-21,173,171,176,173,10859400
2022-10-24,173,172,178,174,52416000
2022-10-25,174,171,176,174,17704800
2022-10-26,174,171,176,173,10858200
2022-10-27,173,161,174,164,31461500
2022-10-28,164,153,164,153,27670000
2022-10-31,153,143,154,146,27714700
2022-11-01,146,136,151,144,21887200
2022-11-02,144,139,146,139,8578700
2022-11-03,133,133,142,135,13469000
2022-11-04,135,131,140,136,15711900
