timestamp,open,low,high,close,volume
2022-08-08,494,494,494,494,14638600
2022-08-09,590,550,615,615,164677600
2022-08-10,765,575,765,575,73913200
2022-08-11,535,535,625,590,122859000
2022-08-12,595,570,610,580,16137900
2022-08-15,590,540,590,570,39906000
2022-08-16,570,550,590,565,24732800
2022-08-17,570,550,590,565,0
2022-08-18,565,530,580,570,49841600
2022-08-19,575,560,600,580,28668100
2022-08-22,580,545,595,565,17870000
2022-08-23,570,550,580,555,14261900
2022-08-24,560,550,565,565,4725200
2022-08-25,565,555,570,565,10029800
2022-08-26,565,555,680,665,118225300
2022-08-29,660,625,695,650,97618700
2022-08-30,655,620,660,630,21135400
2022-08-31,625,625,665,655,20369500
2022-09-01,670,635,670,635,11877800
2022-09-02,670,625,670,625,13621500
2022-09-05,615,590,625,595,16279300
2022-09-06,595,570,605,585,24555500
2022-09-07,580,565,595,585,16012600
2022-09-08,585,575,600,585,8099300
2022-09-09,585,575,590,580,4938200
2022-09-12,590,580,610,595,8433100
2022-09-13,595,590,615,590,4520600
2022-09-14,590,575,590,585,5165000
2022-09-15,590,570,595,575,12709100
2022-09-16,575,560,580,570,22213200
2022-09-19,570,545,585,560,12251300
2022-09-20,560,550,580,555,23051100
2022-09-21,555,550,565,550,7002200
2022-09-22,550,540,575,570,18077400
2022-09-23,570,560,590,575,8896900
2022-09-26,575,560,580,565,8622200
2022-09-27,570,560,575,565,2346400
2022-09-28,565,555,570,555,2250300
2022-09-29,560,550,575,550,6949900
2022-09-30,555,545,560,555,3562200
2022-10-03,555,545,560,560,2002400
2022-10-04,560,555,570,565,4633000
2022-10-05,565,565,590,575,8686200
2022-10-06,575,575,605,585,10428600
2022-10-07,600,570,600,570,2658000
2022-10-10,565,560,580,570,2160700
2022-10-11,575,565,585,570,3604800
2022-10-12,575,560,585,570,4916600
2022-10-13,570,565,580,575,3680600
2022-10-14,575,570,590,570,4248000
2022-10-17,570,560,575,565,1526800
2022-10-18,565,555,570,565,1826400
2022-10-19,570,565,580,575,2467800
2022-10-20,575,565,580,575,928000
2022-10-21,580,570,585,575,3390200
2022-10-24,575,565,585,575,2824500
2022-10-25,580,555,580,560,4089500
2022-10-26,560,550,580,555,14693600
2022-10-27,555,555,575,560,4473000
2022-10-28,560,555,565,560,7006700
2022-10-31,560,555,565,555,5252700
2022-11-01,560,555,590,580,12447300
2022-11-02,585,575,590,585,2667600
2022-11-03,570,570,590,580,4605700
2022-11-04,600,575,600,575,4004100
